PLU,DESC,GROUP_ID,ROLE,TARGET_QTY
1434,NYAM-NYAM BUBBLE PUFF CHOCO 18G,1,BUY,2
403403,NYAM-NYAM CHOCO BANANA 25G,2,BUY,1
403401,NYAM-NYAM CHOCO VANILLA 25G,3,BUY,2
1357,NYAM-NYAM FANTASY STK CHOCO 25G,4,BUY,2
1629,NYAM-NYAM FANTASY STK STR 25G,5,BUY,1
431616,KARTIKA TOAST ALMOND COOKIES51G,6,BUY,1
425840,TANGO BROWNIES CRISP CKT PCH35G,7,BUY,1
460523,TANGO BROWNIES CRISPSUSU PCH35G,8,BUY,1
450439,YAVA BAR CHOCO 28G,9,BUY,2
450440,YAVA BAR PEANUT CARAMEL 28G,10,BUY,2
450591,FOX'S GUMMY EMOTI HAPPYSAD 35G,11,BUY,1
450592,FOX'S GUMMY EMOTI LOVEANGRY 35G,12,BUY,1
123603,YUPI SOUR O'RINGO MINI 45G,13,BUY,1
181526,YUPI STRAWBERRY KISS 45G,14,BUY,1
181528,YUPI HAPPY BEARS DAY 45G,15,BUY,1
181529,YUPI NEON STIX 45G,,,
230323,YUPI LITTLE STAR 45G,,,
416275,YUPI EXOTIC MANGO 45G,,,
438268,YUPI WILD SAFARI 44G,,,
131418,MENTOS FRUIT ROLL 37G,,,
228753,MENTOS GRAPE ROLL 37G,,,
1962,MENTOS MINT ROLL 37G,,,
115448,MENTOS RAINBOW ROLL 37G,,,
466370,MENTOS FEELING BERRY ROLL 37.8G,,,
421712,PAROTI MALKIST CRACKERS 102G,,,
444278,ALFA BIG NORI ORI 3.2G,,,
460648,FRANCIS ALMOND PANGGANG 31G,,,
448229,LAY'S SEAWEED 64G,,,
448233,LAY'S WAVY BEEF BBQ 64G,,,
452961,LAYS WAVY SPICY SEAWEED 64G,,,
441909,CEMCEM CORN SHOTS AYAM GRG 55G,,,
443017,CEMCEM CORN SHOTS COKELAT 55G,,,
228919,SMAX RING CHEESE 40G,,,
