PLU,DESC,GROUP_ID,ROLE,TARGET_QTY
401609,MR HOTTEST MAITOS TBLD 120/140G,TANGO,BUY,2
401681,MR HOTTEST MAITOS TBBQ 120/140G,TANGO,BUY,2
451111,MR HOTTEST MAITOS MIGRG120/125G,TANGO,BUY,2
406546,CHUBA CASSAVA CHILI BLD120/125G,TANGO,BUY,2
406547,CHUBA CASSAVA BBQ 120/125G,TANGO,BUY,2
445327,CHUBA CASSAVA CHEESE 120/125G,FF,BUY,1
440071,NABATI WFR GOGUMA 110G,FF,BUY,1
400618,RICHOCO WFR NABATI 110G,AQUA,BUY,2
400619,RICHEESE WFR NABATI 110G,AQUA,BUY,2
461389,NABATI WFR STR CHEESECAKE 110G,BIORE,BUY,1
990055,LE MINERALE AIR MNRL PET 600ML,BIORE,BUY,1
404759,LE MINERALE AIR MNRL PET 1500ML,BIORE,BUY,1
126475,PEPSODENT PG ECONOMY JUMBO 225G,BIORE,BUY,1
429742,SOSOFT LIQ DET ROSELILY 700ML,BIORE,BUY,1
431407,SOSOFT LIQ DET SAKURA 700ML,BIORE,BUY,1
434164,SOSOFT LIQ DET FREESIA 700ML,BIORE,BUY,1
444215,SOSOFT LIQ DET PEONY 700ML,BIORE,BUY,1
452219,SOSOFT LIQ DET FLORAL LILY 700M,BIORE,BUY,1
116502,VASELINE HBL HLTY BRGHT 200ML,BIORE,BUY,1
414502,VASELINE HBL HW FRESH&FAIR200ML,MAMY,BUY,1
143958,VASELINE HBL ALOE SOOTHE 200ML,MAMY,BUY,1
420813,VASELINE B.SERUM SOFT GLW 180ML,MAMY,BUY,1
432392,VASELINE B.SRM HJB SPF20 180ML,MAMY,BUY,1
451086,VASELINE B.SRM GLUTA FLAW 180ML,MAMY,BUY,1
451087,VASELINE B.SRM GLUTA DEWY 180ML,MAMY,BUY,1
115957,FF UHT PF COKELAT TP 225ML,MAMY,BUY,1
115958,FF UHT PF STROBERI TP 225ML,MAMY,BUY,1
115959,FF UHT PF F.CREAM TP 225ML,SAMPO,BUY,1
220170,J&J PIATTOS SAPI PGG 65G,SAMPO,BUY,1
220171,J&J PIATTOS RUMPUT LAUT 65G,SAMPO,BUY,1
414489,J&J PIATTOS SBL GEPREK 65G,SAMPO,BUY,1
459536,J&J PIATTOS OSENG MERCON 69G,SAMPO,BUY,1
427854,J&J PIATTOS SAPI PGG 115G,SAMPO,BUY,1
435192,J&J PIATTOS SBL GEPREK 115G,SAMPO,BUY,1
459535,J&J PIATTOS RUMPUT LAUT 115G,SAMPO,BUY,1
448255,H&S SHP SLMB STR 2IN1 145/160ML,SAMPO,BUY,1
122905,H&S SHP MENTHOL DINGIN300ML,SAMPO,BUY,1
404720,H&S SHP LEMON SEGAR 300ML,SAMPO,BUY,1
453003,H&S SHP A.KTMB SUPER COOL 300ML,SAMPO,BUY,1
220354,FRENCH FRIES 2000 PRM 138G,KENTANG,BUY,1
459291,FRENCH FRIES 2000 LV3 128G,KENTANG,BUY,1
115918,FRENCH FRIES 2000 62G,KENTANG,BUY,1
439810,FRENCH FRIES LV3 2000 60G,KENTANG,BUY,1
190412,BUAVITA JUICE ORANGE TP 250ML,BUAVITA,BUY,3
190413,BUAVITA JUICE GUAVA TP 250ML,BUAVITA,BUY,3
190414,BUAVITA JUICE MANGO TP 245ML,BUAVITA,BUY,3
190416,BUAVITA JUICE LYCHE TP 245ML,BUAVITA,BUY,3
190417,BUAVITA JUICE APEL TP 250ML,BUAVITA,BUY,3
400884,BUAVITA JUICE GUAVA TP 1L,BUA1,BUY,1
