PLU,DESC,GROUP_ID,ROLE,TARGET_QTY
264136,FRENCH FRIES 2000 PRM 24G,1,BUY,3
415665,SEDAAP MIE GRG 5X91G,2,BUY,1
415666,SEDAAP MIE SOTO 5X76G,3,BUY,1
417804,KANZLER SGL ORI 65G,4,BUY,2
417805,KANZLER SGL KEJU 65G,5,BUY,2
417806,KANZLER SGL MINI 65G,6,BUY,2
419154,PAROTI BAGELEN CHEESE 78G,7,BUY,1
419155,PAROTI BAGELEN VANILLA 72G,8,BUY,1
421456,ALFAMART FAC TISSUE400G,9,BUY,1
423992,KANZLER SGL HOT 65G,0,BUY,2
425602,SUNLIGHT JERUK NIPIS 400G,11,BUY,2
435578,KANZLER SGL GOCHUJANG 60G,12,BUY,2
444388,ENTRASOL STERIL OLIVE CAN 180ML,13,BUY,1
445222,DOVE WMN RO SERUM COLLAGEN 45ML,14,BUY,1
448076,HYDRO COCO LATTE CAN 220ML,15,BUY,1
451434,SEDAAP MIE AYAM BAWANG 5X71G,16,BUY,1
453900,DOVE BW MOISTURE RENEW 300G,17,BUY,1
453901,DOVE BW PAMPERING CARE 300G,18,BUY,1
459704,KANZLER SGL TOM YUM 60G,19,BUY,2
990149,HYDRO COCO ORIGINAL PET 500ML,20,BUY,1
