PLU,DESC,GROUP_ID,ROLE,TARGET_QTY
431802,BEBELAC 1+ MADU BOX 600G,BEBELAC | NUTRILON,BUY,1
431801,BEBELAC 1+ VANILA BOX 600G,BEBELAC | NUTRILON,BUY,1
401545,BEBELAC 1+ VANILA BOX 1KG,BEBELAC | NUTRILON,BUY,1
401546,BEBELAC 1+ MADU BOX 1KG,BEBELAC | NUTRILON,BUY,1
113327,NUTRILON RYL 3 MADU BOX 400G,BEBELAC | NUTRILON,BUY,1
224972,NUTRILON RYL 3 VANILA BOX 400G,BEBELAC | NUTRILON,BUY,1
120467,NUTRILON RYL 4 VANILA BOX 400G,BEBELAC | NUTRILON,BUY,1
437195,ALFAMART FAC TISSUE B2G1,ALFAMART,BUY,1
432061,ALFAMART FACIAL TISSUE 1KG/900S,ALFAMART,BUY,1
420856,TUJUHKURMA STERIL CAN 189ML,TUJUH KURMA | COLLAGENA,BUY,1
441258,COLLAGENA STERIL CAN 189ML,TUJUH KURMA | COLLAGENA,BUY,1
125000,MY BABY M.TELON PLUS 90ML,MY BABY,BUY,1
431419,MY BABY M.TELON LAVENDER 90ML,MY BABY,BUY,1
238285,MY BABY M.TELON PLUS 60ML,MY BABY,BUY,1
434247,MY BABY M.TELON PLUS LAV 60ML,MY BABY,BUY,1
310148,MY BABY M.TELON PLUS 150ML,MY BABY,BUY,1
434248,MY BABY M.TELON PLUS LAV 150ML,MY BABY,BUY,1
407066,MY BABY LOTION TELON PLUS 50G,MY BABY,BUY,1
444000,INDOMILK KKM PUTIH PCH 260G,INDOMILK,BUY,1
140249,INDOMILK UHT F.CREAM TP 950ML,INDOMILK,BUY,1
140248,INDOMILK UHT COKELAT TP 950ML,INDOMILK,BUY,1
310142,FRESH CARE LAVENDER 10ML,FRESH CARE,BUY,1
119426,FRESH CARE M.ANGIN S.FRUITY10ML,FRESH CARE,BUY,1
415079,FRESH CARE M.KAYU PUTIH 10ML,FRESH CARE,BUY,1
425962,FRESH CARE PRES&RELAX K.PTH10ML,FRESH CARE,BUY,1
417551,FRESH CARE PRESS&RLX STRONG10ML,FRESH CARE,BUY,1
117094,FRESH CARE M.ANGIN ORI 10ML,FRESH CARE,BUY,1
122262,FRESH CARE M.ANGIN STRONG 10ML,FRESH CARE,BUY,1
439689,FRESH CARE SMASH 8ML,FRESH CARE,BUY,1
443685,FRESH CARE SMASH MATCHA 8ML,FRESH CARE,BUY,1
451262,FRESH CARE SMASH FRUITY 8ML,FRESH CARE,BUY,1
453390,FRESH CARE SMASH SAKURA 10ML,FRESH CARE,BUY,1
459439,FRESH CARE VAPOBALM MATCHA 10G,FRESH CARE,BUY,1
453391,FRESH CARE VAPOBALM SAKURA 8G,FRESH CARE,BUY,1
102412,FF PGRO 1+ MADU BOX 750G,FF PGRO,BUY,1
113190,FF PGRO 1+ VNL BOX 700G,FF PGRO,BUY,1
243682,FF PGRO 3+ MADU BOX 700G,FF PGRO,BUY,1
115440,FF PGRO 3+ VANILA BOX 700G,FF PGRO,BUY,1
321619,REXONA WMN RO FREE SPIRIT50ML,REXONA,BUY,1
321620,REXONA WMN RO INVIS DRY 50ML,REXONA,BUY,1
321650,REXONA WMN RO POWDER DRY 50ML,REXONA,BUY,1
321648,REXONA WMN RO ADV WHT 50ML,REXONA,BUY,1
431328,REXONA MEN RO NAT FRSH LIME45ML,REXONA,BUY,1
459076,REXONA MEN RO FIFA F.STRIKE40ML,REXONA,BUY,1
459077,REXONA MEN RO FIFA D.DFNDER40ML,REXONA,BUY,1
431326,REXONA MEN RO ICE COOL45ML NEW,REXONA,BUY,1
431324,REXONA MEN RO INVISIBLE DRY45ML,REXONA,BUY,1
431323,REXONA MEN RO SPORT DEF45ML NEW,REXONA,BUY,1
400467,SUNSILK SHP HIJAB REFRESH 160ML,SUNSILK,BUY,1
450823,SUNSILK SHP GLOSSY BLACK 160ML,SUNSILK,BUY,1
450824,SUNSILK SHP SILKY SMOOTH 160ML,SUNSILK,BUY,1
450825,SUNSILK SHP A.DNDRF&SLK 160ML,SUNSILK,BUY,1
