PLU,DESC,GROUP_ID,ROLE,TARGET_QTY
444755,WOW SPAGETI CARBONARA 80G,Serba1,BUY,3
444756,WOW SPAGETI BOLOGNESE 76G,Serba1,BUY,3
448657,WOW SPAGETI AGLIO OLIO 75G,Serba1,BUY,3
461599,WOW SPAGETI GORENG,Serba1,BUY,3
441179,MOM'S RECIPE SP TARO PCH 110G,Serba2,BUY,3
110859,MOM'S RECIPE SP MANGO PCH 110G,Serba2,BUY,3
213741,OVALE FAC LOT PRFT LMNS 200ML,Serba3,BUY,1
452835,ELLIPS VIT HAIR MIST ME UP 50ML,Serba3,GET,1
453045,RAMEN YES GRG YAKITORI 84G,Serba4,BUY,3
453044,RAMEN YES CHICKEN 88G,Serba4,BUY,3
428690,KOOLFEVER DEWASA 1S,Serba5,BUY,3
197589,RAPIKA LAVENDER REF 300ML,Serba6,BUY,3
415156,RAPIKA SOFT SAKURA 300ML,Serba6,BUY,3
454096,RAPIKA EDP PURPLE 300ML,Serba6,BUY,3
125431,KOKO KRUNCH CUP 30G,Serba7,BUY,3
125432,MILO CEREAL CUP 30G,Serba8,BUY,3
113852,NUTRIVE BENECOL B.CRNT BTL100ML,Serba9,BUY,4
200213,NUTRIVE BENECOL LYCHEE BTL100ML,Serba9,BUY,4
408055,NUTRIVE BENECOL ORG BTL 100ML,Serba9,BUY,4
113850,NUTRIVE BENECOL STR BTL 100ML,Serba9,BUY,4
460878,ALFA AIR MNRL ONEPIECE FT 600ML,Serba0,BUY,3
426512,VIT AIR MNRL PET 550ML,Serba10,BUY,3
459336,PEPSODENT PG SNSTV EXP ORI 60G,Serba11,BUY,3
460329,PEPSODENT PG SNSTV EXP WHT 60G,Serba11,BUY,3
453125,PEPSODENT PG SNSTV EXP CPCR 60G,Serba11,BUY,3
453252,PEPSODENT PG GUM EXP WHTNG 60G,Serba11,BUY,3
453126,PEPSODENT PG SNSTV EXP FRSH 60G,Serba11,BUY,3
452313,ALFAMART CREAMY TREATS TUNA 4S,Serba12,BUY,3
439558,ALFA KITTEN CAT CHOIZE 70G,Serba13,BUY,3
439557,ALFA ADULT CAT CHOIZE 70G,Serba13,BUY,3
451060,ALFA FAC TISSUE ONE PIECE 100S,Serba14,BUY,2
421455,ALFAMART FAC TISSUE ALBI 50'S,Serba15,BUY,3
414495,PROMINA BABY CRUNCH KEJU 20G,Serba16,BUY,3
437950,PROMINA BABY CRUNCH R.LAUT 20G,Serba16,BUY,3
437951,PROMINA BABY CRUNCH AYM BRKL20G,Serba16,BUY,3
990150,PRISTINE 8.6+ WTR PET 400ML,Serba17,BUY,3
